#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 194914:2663 | 05/25/12 10:14:34 | 38   | 38   | 2475110.742    | 2438717.403   |
| 194915:2663 | 05/25/12 10:33:19 | 74   | 74   | 4665373.365    | 4623968.106   |
| 195013:2669 | 05/26/12 02:33:46 | 437  | 437  | 56399381.728   | 54762025.439  |
| 195014:2669 | 05/26/12 05:38:07 | 145  | 145  | 15551327.214   | 15378488.658  |
| 195015:2669 | 05/26/12 06:44:08 | 13   | 13   | 1321163.854    | 1199919.229   |
| 195016:2669 | 05/26/12 06:56:15 | 552  | 552  | 48740899.802   | 48231805.728  |
| 195099:2670 | 05/27/12 21:17:38 | 171  | 171  | 24558556.366   | 23785490.757  |
| 195109:2671 | 05/28/12 01:40:39 | 144  | 144  | 20244456.939   | 19598222.256  |
| 195112:2671 | 05/28/12 03:51:01 | 24   | 24   | 2863579.986    | 2451747.997   |
| 195113:2671 | 05/28/12 04:04:17 | 569  | 569  | 58097350.302   | 57165697.448  |
| 195114:2671 | 05/28/12 07:53:29 | 101  | 101  | 8711897.352    | 8558750.904   |
| 195115:2671 | 05/28/12 08:37:22 | 20   | 20   | 1623394.307    | 1605299.233   |
| 195147:2673 | 05/28/12 17:59:45 | 416  | 416  | 53720064.316   | 52413698.416  |
| 195163:2675 | 05/29/12 02:27:30 | 269  | 269  | 37024292.634   | 35770034.669  |
| 195164:2675 | 05/29/12 04:17:00 | 64   | 64   | 7954887.502    | 7781262.861   |
| 195165:2675 | 05/29/12 04:44:03 | 257  | 257  | 28921949.760   | 28435619.828  |
| 195251:2683 | 05/30/12 12:28:53 | 236  | 236  | 31401140.891   | 30544895.536  |
| 195303:2686 | 05/31/12 02:02:28 | 295  | 295  | 39387794.615   | 37830661.806  |
| 195304:2686 | 05/31/12 04:01:24 | 1206 | 1206 | 108828254.167  | 107745031.067 |
| 195378:2691 | 06/01/12 09:43:18 | 1029 | 1029 | 100816781.541  | 99617586.246  |
| 195390:2691 | 06/01/12 21:03:25 | 389  | 389  | 20276003.750   | 20152642.308  |
| 195396:2692 | 06/02/12 03:11:28 | 79   | 79   | 11207266.606   | 10676072.095  |
| 195397:2692 | 06/02/12 03:50:24 | 1188 | 1188 | 118738876.575  | 117207428.108 |
| 195398:2692 | 06/02/12 11:45:18 | 1756 | 1756 | 91468564.948   | 90664876.558  |
| 195399:2692 | 06/02/12 23:25:44 | 381  | 381  | 13474395.578   | 13349686.735  |
| 195530:2698 | 06/04/12 16:30:17 | 399  | 399  | 47006906.018   | 46299645.696  |
| 195540:2700 | 06/05/12 02:45:46 | 246  | 246  | 32696797.301   | 31943914.620  |
| 195551:2701 | 06/05/12 07:35:46 | 16   | 16   | 2283516.825    | 1996680.472   |
| 195552:2701 | 06/05/12 07:44:56 | 1768 | 1768 | 156471269.647  | 154594572.990 |
| 195633:2710 | 06/06/12 16:06:39 | 3    | 3    | 463237.060     | 334096.687    |
| 195647:2710 | 06/06/12 17:39:00 | 41   | 41   | 5354743.495    | 5227727.704   |
| 195649:2710 | 06/06/12 17:58:35 | 242  | 242  | 28906265.942   | 28418156.287  |
| 195655:2710 | 06/06/12 19:55:18 | 490  | 490  | 47210908.992   | 46645320.499  |
| 195656:2710 | 06/06/12 23:11:12 | 362  | 362  | 28910216.744   | 28684603.608  |
| 195658:2710 | 06/07/12 02:24:17 | 382  | 382  | 24812931.595   | 24532740.155  |
| 195749:2711 | 06/07/12 13:10:15 | 128  | 128  | 17854061.660   | 17046478.777  |
| 195757:2711 | 06/07/12 14:06:05 | 201  | 201  | 25156098.662   | 23901900.889  |
| 195758:2711 | 06/07/12 15:29:14 | 18   | 18   | 2111581.971    | 2025777.566   |
| 195774:2712 | 06/07/12 18:50:44 | 815  | 815  | 97336051.138   | 95477048.982  |
| 195775:2712 | 06/08/12 01:09:27 | 166  | 166  | 14007807.217   | 13789317.917  |
| 195776:2712 | 06/08/12 02:18:13 | 469  | 469  | 34424494.009   | 34140079.899  |
| 195841:2713 | 06/08/12 11:42:48 | 12   | 12   | 1723813.365    | 1575367.888   |
| 195868:2714 | 06/08/12 15:09:13 | 202  | 202  | 26468446.853   | 25758749.114  |
| 195915:2717 | 06/09/12 09:16:16 | 838  | 838  | 95842921.380   | 94352655.702  |
| 195916:2717 | 06/09/12 14:52:48 | 208  | 208  | 17992651.384   | 17839103.316  |
| 195917:2717 | 06/09/12 16:17:55 | 4    | 4    | 329396.526     | 325663.000    |
| 195918:2717 | 06/09/12 16:24:51 | 61   | 61   | 4926401.943    | 4871004.889   |
| 195919:2717 | 06/09/12 16:54:13 | 15   | 15   | 1184169.296    | 1175140.843   |
| 195923:2717 | 06/09/12 17:04:18 | 14   | 14   | 1091775.680    | 1083589.033   |
| 195925:2717 | 06/09/12 17:13:36 | 12   | 12   | 926277.561     | 918280.967    |
| 195926:2717 | 06/09/12 17:22:10 | 32   | 32   | 2437572.005    | 2421001.666   |
| 195929:2717 | 06/09/12 17:48:55 | 29   | 29   | 2146062.978    | 2130638.430   |
| 195930:2717 | 06/09/12 18:02:59 | 590  | 590  | 38336533.632   | 37955798.601  |
| 195937:2717 | 06/09/12 22:11:12 | 393  | 393  | 21309516.082   | 21167323.693  |
| 195947:2718 | 06/10/12 04:52:29 | 65   | 65   | 9330661.773    | 6518231.110   |
| 195948:2718 | 06/10/12 05:41:25 | 547  | 547  | 63757024.238   | 62454280.534  |
| 195950:2718 | 06/10/12 09:23:48 | 1562 | 1562 | 112431284.965  | 111148927.475 |
| 195963:2719 | 06/10/12 21:55:56 | 5    | 5    | 687034.750     | 661704.310    |
| 195970:2720 | 06/11/12 00:09:07 | 41   | 41   | 5952876.732    | 2368367.537   |
| 196019:2723 | 06/11/12 10:35:37 | 15   | 15   | 2206606.723    | 1907207.802   |
| 196027:2723 | 06/11/12 11:48:41 | 181  | 181  | 22433252.838   | 22038763.454  |
| 196046:2724 | 06/11/12 16:04:31 | 29   | 29   | 4249723.456    | 3975330.568   |
| 196047:2724 | 06/11/12 16:21:23 | 70   | 70   | 9768775.208    | 9140051.410   |
| 196048:2724 | 06/11/12 16:57:52 | 47   | 47   | 6206892.721    | 5952503.709   |
| 196197:2726 | 06/12/12 18:09:49 | 499  | 499  | 64455308.436   | 62892761.822  |
| 196199:2726 | 06/12/12 21:29:37 | 524  | 524  | 51008692.141   | 50402151.452  |
| 196200:2726 | 06/13/12 01:03:02 | 68   | 68   | 5749870.197    | 5701112.937   |
| 196202:2726 | 06/13/12 01:36:57 | 104  | 104  | 8418655.992    | 8331993.606   |
| 196203:2726 | 06/13/12 02:21:11 | 113  | 113  | 8672345.334    | 8615321.713   |
| 196218:2728 | 06/13/12 07:43:09 | 757  | 757  | 91327899.273   | 89757994.946  |
| 196239:2728 | 06/13/12 12:50:17 | 1011 | 1011 | 79439725.744   | 78825449.684  |
| 196249:2729 | 06/14/12 00:03:03 | 35   | 35   | 5191625.544    | 4946428.992   |
| 196250:2729 | 06/14/12 00:22:01 | 423  | 423  | 54206083.104   | 53102569.548  |
| 196252:2729 | 06/14/12 03:15:10 | 35   | 35   | 3885490.553    | 3842876.741   |
| 196334:2732 | 06/14/12 16:30:13 | 270  | 270  | 37579222.973   | 36663658.731  |
| 196349:2733 | 06/14/12 22:45:51 | 190  | 190  | 27227822.968   | 26473090.256  |
| 196357:2733 | 06/15/12 02:01:46 | 4    | 4    | 451361.015     | 416052.441    |
| 196359:2733 | 06/15/12 02:08:36 | 2    | 2    | 223097.632     | 186176.756    |
| 196362:2733 | 06/15/12 02:24:41 | 88   | 88   | 9389635.574    | 9188385.982   |
| 196363:2733 | 06/15/12 03:10:27 | 32   | 32   | 3259630.600    | 3188679.128   |
| 196364:2733 | 06/15/12 03:29:54 | 1283 | 1283 | 97858489.166   | 96955128.520  |
| 196437:2734 | 06/16/12 00:39:25 | 166  | 166  | 14476597.080   | 14356770.086  |
| 196438:2734 | 06/16/12 02:08:03 | 1266 | 1266 | 84431177.326   | 83840397.541  |
| 196452:2736 | 06/16/12 16:12:22 | 995  | 995  | 114701297.263  | 112127467.396 |
| 196453:2736 | 06/16/12 22:47:50 | 1630 | 1630 | 114391375.868  | 113463748.845 |
| 196495:2737 | 06/17/12 16:59:40 | 158  | 158  | 21104031.046   | 20630906.955  |
| 196509:2737 | 06/17/12 20:07:52 | 68   | 68   | 7168377.264    | 7085304.846   |
| 196531:2739 | 06/18/12 06:32:17 | 370  | 370  | 48598364.854   | 47720129.227  |
| 198049:2797 | 07/02/12 06:33:57 | 55   | 55   | 1746946.362    | 1715559.384   |
| 198050:2797 | 07/02/12 06:59:59 | 154  | 154  | 4680287.676    | 4610479.425   |
| 198063:2797 | 07/02/12 08:03:42 | 289  | 289  | 7969620.563    | 7884163.985   |
| 198116:2798 | 07/02/12 15:27:55 | 73   | 73   | 5928915.608    | 5722653.708   |
| 198207:2805 | 07/03/12 17:24:56 | 97   | 97   | 6832028.298    | 6746376.073   |
| 198208:2805 | 07/03/12 18:11:26 | 204  | 204  | 12808437.500   | 12627109.125  |
| 198210:2805 | 07/03/12 19:39:26 | 221  | 221  | 12077541.329   | 11990423.564  |
| 198212:2805 | 07/03/12 21:21:04 | 574  | 574  | 25503008.521   | 25223651.090  |
| 198213:2805 | 07/04/12 01:07:23 | 107  | 107  | 4054041.540    | 3959643.170   |
| 198215:2805 | 07/04/12 01:59:27 | 12   | 12   | 436730.880     | 430347.116    |
| 198230:2806 | 07/04/12 05:38:55 | 1358 | 1358 | 100274207.514  | 99385185.050  |
| 198249:2806 | 07/04/12 14:40:07 | 7    | 7    | 359257.042     | 356316.208    |
